,station_name,street_address,city,access_days_time,evse_units,latitude,longitude
304,Stony Creek Brewery - Tesla Destination,5 Indian Neck Ave,Branford,24 Hours,1,-72.812491,41.274658
305,Big Y,1021 Main St,Cheshire,24 Hours,2,-72.907523,41.476271
306,Connecticut Post Mall - Dave & Buster's,1201 Boston Post Rd,Milford,Regular,2,-73.033472,41.23636
307,City of Middletown - Mellili Plaza Public Parking,245 DeKoven Dr,Middletown,24 Hours,12,-72.648056,41.561647
308,Ford of Branford,301 E Main St,Branford,Regular,2,-72.789844,41.292505000000006
309,Morton Government Center,239 John St,Bridgeport,24 Hours,1,-73.191423,41.177007
310,Town of Groton - Public Library,52 Newtown Rd,Groton,24 Hours,2,-72.028928,41.347552
311,Burlington Library,34 Library Ln,Burlington,24 Hours,2,-72.967327,41.771305
312,Bruce Bennett Nissan,978 Danbury Rd,Wilton,Regular,1,-73.435546,41.258992
313,Park 'N Fly - Bradley International Airport,1186 South St,Suffield,24 Hours,2,-72.663078,41.951328
314,Van Wilgen's Garden Center,51 Valley Rd,North Branford,Regular,1,-72.766102,41.306955
315,REYNOLDS SUBARU,272 Hamburg Rd,Lyme,24 Hours,2,-72.3518219,41.3890729
316,Tingue Dam Bypass Channel - Wakeley Street Parking Lot,37 Wakeley St,Seymour,24 Hours,2,-73.075525,41.394315000000006
317,Mohegan Sun,1 Mohegan Sun Blvd,Uncasville,24 Hours,4,-72.091456,41.491597
318,COMCAST,90 Phoenix Ave,Enfield,24 Hours,4,-72.581611,41.977252
319,Greenlots - 92143,665 Commerce Dr,Fairfield,24 Hours,2,-73.23358,41.163146
322,"DoubleTree by Hilton - Norwalk, CT - Tesla Destination",789 Connecticut Ave,Norwalk,24 Hours,1,-73.453043,41.092037
323,BIG Y FOODS,140 suit A West Rd,Ellington,24 Hours,2,-72.46388,41.888958
324,Wrap N Shine Auto Spa - Tesla Destination,97 Bridgeport Ave #10,Shelton,24 Hours,1,-73.097982,41.310498
